gamma,ret,stdev,weights,name
0.01,12.345499361939307,35.063518685415595,[  88.26630401  -35.07771965   90.91894896 -143.10753332],AI_Infra_Balanced
0.012067926406393288,10.23875116041459,29.055143353771477,[  73.14454403  -28.9438671    75.34922902 -118.54990595],AI_Infra_Balanced
0.014563484775012436,8.493009488996531,24.076349040988738,[ 60.61400691 -23.86109452  62.44749312 -98.20040551],AI_Infra_Balanced
0.017575106248547922,7.046413269704696,19.95071011188667,[ 50.23066789 -19.64929175  51.7565629  -81.33793904],AI_Infra_Balanced
0.021209508879201904,5.847701767349609,16.53203284507581,[ 41.62658905 -16.15921183  42.89760085 -67.36497807],AI_Infra_Balanced
0.025595479226995357,4.854398144185283,13.699174997986903,[ 34.4968813  -13.26718232  35.55668597 -55.78638495],AI_Infra_Balanced
0.030888435964774818,4.031304275599789,11.351753081408368,[ 28.5889005  -10.87072297  29.4736899  -46.19186743],AI_Infra_Balanced
0.0372759372031494,3.3492534900154194,9.406585229028224,[ 23.69329491  -8.88491425  24.43305918 -38.24143984],AI_Infra_Balanced
0.04498432668969444,2.7840770358210722,7.794743613588746,[ 19.63658672  -7.23938821  20.25617696 -31.65337547],AI_Infra_Balanced
0.054286754393238594,2.315747651665287,6.45911196079588,[ 16.2750248   -5.87583495  16.79503369 -26.19422354],AI_Infra_Balanced
0.0655128556859551,1.9276698921691118,5.352361610468847,[ 13.4894908   -4.74593639  13.92698234 -21.67053675],AI_Infra_Balanced
0.07906043210907697,1.6060920614569678,4.435274405802364,[ 11.18127819  -3.80965412  11.55039231 -17.92201639],AI_Infra_Balanced
0.09540954763499938,1.3396189161270624,3.675352981598361,[  9.26859449  -3.03381058   9.58104817 -14.81583208],AI_Infra_Balanced
0.1151395399326447,1.1188078700895805,3.045669206402083,[  7.68366297  -2.39091344   7.94916537 -12.2419149 ],AI_Infra_Balanced
0.13894954943731375,0.9358343926241378,2.5239099725187057,[  6.37032091  -1.85818137   6.59691748 -10.10905703],AI_Infra_Balanced
0.16768329368110074,0.7842147428983097,2.0915865209187965,[ 5.28202951 -1.41673679  5.47638705 -8.34167977],AI_Infra_Balanced
0.20235896477251566,0.6585762159302431,1.7333792828416656,[ 4.38022471 -1.05093692  4.5478676  -6.87715538],AI_Infra_Balanced
0.2442053094548651,0.5544667585660462,1.4365950217757824,[ 3.63295068 -0.74781951  3.77845667 -5.66358783],AI_Infra_Balanced
0.29470517025518095,0.46819720913538204,1.1907170385204164,[ 3.01372745 -0.49664346  3.14088986 -4.65797385],AI_Infra_Balanced
0.35564803062231287,0.39671057048223196,0.9870324990885686,[ 2.5006126  -0.28850824  2.61257473 -3.82467909],AI_Infra_Balanced
0.42919342601287763,0.33747368400662486,0.8183236769190574,[ 2.07542368 -0.1160385   2.17479022 -3.13417541],AI_Infra_Balanced
0.517947467923121,0.2883874661421995,0.6786121636630469,[ 1.72309396  0.02687731  1.81202325 -2.56199453],AI_Infra_Balanced
0.6250551925273969,0.2477125264620731,0.5629469762702858,[ 1.43113849  0.14530346  1.51141902 -2.08786097],AI_Infra_Balanced
0.7543120063354615,0.21400753165983605,0.46722903760012674,[ 1.18921169  0.24343644  1.2623255  -1.69497363],AI_Infra_Balanced
0.9102981779915218,0.18607813130785758,0.38806578661138924,[ 0.9887408   0.32475362  1.05591595 -1.36941037],AI_Infra_Balanced
1.0985411419875584,0.16293463555602553,0.32265072519718174,[ 0.82262205  0.39213651  0.88487617 -1.09963473],AI_Infra_Balanced
1.325711365590108,0.14375694506267694,0.26866356575309663,[ 0.68496894  0.44797286  0.7431453  -0.8760871 ],AI_Infra_Balanced
1.5998587196060574,0.12786549043531953,0.22418733306762514,[ 0.57090369  0.49424125  0.62570103 -0.69084597],AI_Infra_Balanced
1.9306977288832496,0.11469715140821174,0.18763931828451,[ 0.47638434  0.53258121  0.52838169 -0.53734724],AI_Infra_Balanced
2.329951810515372,0.10378530244289852,0.15771320611405468,[ 0.39806157  0.56435135  0.44773872 -0.41015163],AI_Infra_Balanced
2.811768697974228,0.09474327765930998,0.13333003967857787,[ 0.33315997  0.59067744  0.3809145  -0.30475191],AI_Infra_Balanced
3.3932217718953264,0.0872506691704163,0.11359602795440189,[ 0.27937973  0.61249236  0.3255411  -0.21741319],AI_Infra_Balanced
4.094915062380423,0.08104197329626489,0.09776567033015494,[ 0.23481512  0.63056914  0.27965633 -0.14504059],AI_Infra_Balanced
4.941713361323833,0.07589718233129662,0.08520942701240225,[ 0.19788698  0.64554834  0.24163425 -0.08506956],AI_Infra_Balanced
5.963623316594643,0.07163398848032759,0.07538623595155652,[ 0.16728674  0.65796074  0.21012752 -0.035375  ],AI_Infra_Balanced
7.196856730011514,0.0681013237064436,0.06782222001338081,[0.14193008 0.66824618 0.1840197  0.00580403],AI_Infra_Balanced
8.68511373751352,0.0651740065726463,0.06209713506048245,[0.12091846 0.67676914 0.16238565 0.03992675],AI_Infra_Balanced
10.481131341546853,0.06274830638587148,0.057838786481752,[0.10350734 0.68383163 0.14445874 0.06820229],AI_Infra_Balanced
12.648552168552959,0.060738267456988244,0.05472324707539415,[0.08907973 0.68968391 0.12960375 0.09163261],AI_Infra_Balanced
15.264179671752318,0.05907266322541261,0.05247696533290036,[0.0771244  0.69453337 0.11729426 0.11104797],AI_Infra_Balanced
18.420699693267146,0.05769247231648125,0.05087716145605612,[0.06721771 0.69855183 0.10709409 0.12713638],AI_Infra_Balanced
22.229964825261934,0.05654878709463555,0.049748876263031365,[0.05900859 0.7018817  0.09864179 0.14046792],AI_Infra_Balanced
26.826957952797247,0.05560108060113241,0.048959086012566405,[0.05220617 0.70464097 0.09163786 0.151515  ],AI_Infra_Balanced
32.374575428176435,0.05481577046450358,0.04840931656179577,[0.04656939 0.70692742 0.0858341  0.16066908],AI_Infra_Balanced
39.06939937054613,0.05416502889533657,0.048028174006259756,[0.04189852 0.70882207 0.08102486 0.16825455],AI_Infra_Balanced
47.1486636345739,0.05362579659705022,0.047764701789792384,[0.03802803 0.71039206 0.07703971 0.17454019],AI_Infra_Balanced
56.89866029018293,0.0531789656501854,0.04758294411621117,[0.03482078 0.71169302 0.07373745 0.17974875],AI_Infra_Balanced
68.66488450042998,0.052808702415378064,0.047457737325877034,[0.03216312 0.71277105 0.07100106 0.18406478],AI_Infra_Balanced
82.86427728546842,0.052501886461801164,0.047371572596602914,[0.02996086 0.71366435 0.06873356 0.18764122],AI_Infra_Balanced
100.0,0.052247645639273144,0.047312316816175586,[0.02813598 0.71440458 0.06685462 0.19060482],AI_Infra_Balanced
